vertex,cluster,btw_centrality,degree
Norris P 2001,1,116.968042302879,1
Castells M 2001-1,1,12.795611360558901,0.39503386004514673
Dimaggio P 2001-2,1,21.67821206286625,0.3036117381489842
Mossberger K 2003,1,5.733406683842052,0.2200902934537246
Servon L 2002-1,1,5.803890955121091,0.2878103837471783
Hargittai E 2002,2,29.554913723678684,0.582392776523702
Van Dijk J 2003,2,4.61332797559919,0.3871331828442438
Bonfadelli H 2002,2,27.14155382578535,0.4683972911963883
Dimaggio P 2001-1,2,26.99864386226547,0.42437923250564336
Attewell P 2001,2,4.675779913848162,0.24266365688487584
Corrocher N 2002,2,2.2527447809993832,0.21896162528216703
Malecki E 2003,2,6.884408477965984,0.3013544018058691
Jung J 2001,2,11.615035129594256,0.2516930022573363
Compaine B 2001,3,11.526625793845469,0.7471783295711061
Rogers E 1995,3,29.99523187884866,0.7404063205417607
Selwyn N 2004-1,3,0.41627672399511817,0.30812641083521447
Warschauer M 2003-1,3,7.296510924918364,0.3431151241534989
Facer K 2001-1,3,0.2153150628675235,0.3261851015801354
Bourdieu P 1984,3,34.40607472369733,0.2291196388261851
Attewell P 1999,3,0.4773043414502778,0.32505643340857787
Chen W 2003,3,2.304752860460828,0.24379232505643342
Miller D 2000,3,0.5693822500916321,0.23702031602708803
Castells M 1996,4,2.6308051648949533,0.3611738148984199
Castells M 1998,4,0.8400611250121146,0.22460496613995484
Castells M 2000-1,4,0.30204678362573095,0.2878103837471783
Haddon L 2000,4,2.6767119678709883,0.2878103837471783
Van Dijk J 1999,4,1.560865702534547,0.2945823927765237
Katz J 2002-1,4,11.523511152933256,0.30812641083521447
Mansell R 1998,4,0,0.23024830699774265
Murdock G 2002-1,4,4.668539485362321,0.22686230248307
Selwyn N 2002-1,4,0.9405357323439936,0.2200902934537246
Balnaves M 1997,4,0.7566254129515284,0.23476297968397292
Parker E 2000-1,4,0.31212557432600824,0.21670428893905191
Selwyn N 2000,4,0.060673650820151095,0.21896162528216703
Servon L 2001,4,1.8044526321453729,0.23137697516930023
