Rank,AU,PY,TI,TC
1,VAN DIJK J; HACKER K,2003,THE DIGITAL DIVIDE AS A COMPLEX AND DYNAMIC PHENOMENON,664
2,VAN DIJK J,2006,"DIGITAL DIVIDE RESEARCH, ACHIEVEMENTS AND SHORTCOMINGS",660
3,LIVINGSTONE S; HELSPER E,2007,"GRADATIONS IN DIGITAL INCLUSION: CHILDREN, YOUNG PEOPLE AND THE DIGITAL DIVIDE",587
4,SELWYN N,2004,RECONSIDERING POLITICAL AND POPULAR UNDERSTANDINGS OF THE DIGITAL DIVIDE,560
5,INTRONA L; NISSENBAUM H,2000,SHAPING THE WEB: WHY THE POLITICS OF SEARCH ENGINES MATTERS,463
